PROYECTO;ETAPA;MANZANA;LOTE;AREA_m2;PRECIO_CONTADO_SOLES;PRECIO_CONTADO_DOLARES;PRECIO_CONTADO_DSCTO;12_MESES_SOLES;24_MESES_SOLES;12_MESES_DOLARES;24_MESES_DOLARES
OASIS 1 (HUACHO 1);1;B;10;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;11;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;12;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;13;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;14;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;15;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;16;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;17;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;18;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;19;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;20;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;21;90;13000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;22;90;13000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;23;90;13000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;24;90;13000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;25;90;13000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;26;90;13000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;27;90;13000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;28;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;29;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;30;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;31;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;32;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;33;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;34;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;35;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;36;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;37;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;38;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;39;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;40;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;41;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
